species_tree,fam_species,order_species,sc,habitat,long_x,lat_y,b_nisc,g_nisc,p_nisc,nisc
Surnia_ulula,Strigidae,Strigiformes,0,6,23.21207681,60.95117343,0,0,0,0
Surniculus_dicruroides,Cuculidae,Cuculiformes,1,1,NA,NA,0,0,0,0
Surniculus_lugubris,Cuculidae,Cuculiformes,1,6,101.7421725,16.32366755,0,0,0,0
Surniculus_musschenbroeki,Cuculidae,Cuculiformes,1,3,NA,NA,0,0,0,0
Surniculus_velutinus,Cuculidae,Cuculiformes,1,1,NA,NA,0,0,0,0
Syma_megarhyncha,Alcedinidae,Coraciiformes,1,1,142.4729489,-5.60188041,1,1,0,1
Syma_torotoro,Alcedinidae,Coraciiformes,1,6,140.9094287,-5.688906299,1,1,0,1
Synoicus_adansonii,Phasianidae,Galliformes,1,6,NA,NA,1,0,0,1
Synorhacma_multistriata,Psittaculidae,Psittaciformes,1,1,NA,NA,0,1,0,1
Synthliboramphus_antiquus,Alcidae,Charadriiformes,0,6,173.185697,50.4485985,0,0,0,0
Synthliboramphus_craveri,Alcidae,Charadriiformes,0,5,-112.8762309,28.53154085,0,0,0,0
Synthliboramphus_hypoleucus,Alcidae,Charadriiformes,0,5,-118.4174444,29.53550727,0,0,0,0
Synthliboramphus_scrippsi,Alcidae,Charadriiformes,0,6,-118.4174444,29.53550727,0,0,0,0
Synthliboramphus_wumizusume,Alcidae,Charadriiformes,0,5,137.0332706,33.84550646,0,0,0,0
Sypheotides_indicus,Otididae,Otidiformes,0,2,75.6423549,20.60323283,0,0,0,0
Syrigma_sibilatrix,Ardeidae,Pelecaniformes,0,6,-58.82390174,-21.44816293,0,0,0,0
Syrmaticus_ellioti,Phasianidae,Galliformes,1,1,114.618051,27.23086196,1,0,0,1
Syrmaticus_humiae,Phasianidae,Galliformes,1,6,99.87681859,23.68928627,1,0,0,1
Syrmaticus_mikado,Phasianidae,Galliformes,1,1,121.1308685,23.76413084,1,0,1,1
Syrmaticus_reevesii,Phasianidae,Galliformes,0,6,107.6292156,30.61526175,0,0,0,0
Syrmaticus_soemmerringii,Phasianidae,Galliformes,0,6,135.8136381,35.32547108,0,0,0,0
Syrrhaptes_paradoxus,Pteroclidae,Pterocliformes,0,3,90.81696252,46.94833106,0,0,0,0
Syrrhaptes_tibetanus,Pteroclidae,Pterocliformes,0,6,87.42151252,33.46073606,0,0,0,0
Systellura_decussata,Caprimulgidae,Caprimulgiformes,0,3,-65.22131602,-28.8659451,0,0,0,0
Systellura_longirostris,Caprimulgidae,Caprimulgiformes,0,3,-65.22131602,-28.8659451,0,0,0,0
Tachornis_furcata,Apodidae,Caprimulgiformes,0,6,-72.18635776,9.320635584,0,0,0,0
Tachornis_phoenicobia,Apodidae,Caprimulgiformes,0,3,-75.98471392,20.39928044,0,0,0,0
Tachornis_squamata,Apodidae,Caprimulgiformes,0,6,-59.36433203,-5.556345242,0,0,0,0
Tachybaptus_dominicus,Podicipedidae,Podicipediformes,0,6,-60.82806767,-8.128017861,0,0,0,0
Tachybaptus_novaehollandiae,Podicipedidae,Podicipediformes,0,6,139.8869358,-23.66409774,0,0,0,0
Tachybaptus_pelzelnii,Podicipedidae,Podicipediformes,0,4,46.67969305,-19.47949387,0,0,0,0
Tachybaptus_ruficollis,Podicipedidae,Podicipediformes,0,6,48.25120415,16.5996332,0,0,0,0
Tachybaptus_rufolavatus,Podicipedidae,Podicipediformes,0,4,NA,NA,0,0,0,0
Tachyeres_brachypterus,Anatidae,Anseriformes,0,6,-59.38369579,-51.74656635,0,0,0,0
Tachyeres_leucocephalus,Anatidae,Anseriformes,0,5,-65.12162981,-43.77425002,0,0,0,0
Tachyeres_patachonicus,Anatidae,Anseriformes,0,6,-70.31136034,-46.32963308,0,0,0,0
Tachyeres_pteneres,Anatidae,Anseriformes,0,5,-72.41616318,-50.79905424,0,0,0,0
Tachymarptis_aequatorialis,Apodidae,Caprimulgiformes,0,1,33.35418934,-5.883183893,0,0,0,0
Tachymarptis_melba,Apodidae,Caprimulgiformes,0,3,40.10574116,20.10179388,0,0,0,0
Tadorna_cana,Anatidae,Anseriformes,1,6,22.03393024,-27.82815631,0,0,0,0
Tadorna_cristata,Anatidae,Anseriformes,1,6,NA,NA,0,0,0,0
Tadorna_ferruginea,Anatidae,Anseriformes,1,6,71.56301139,42.68780285,0,0,0,0
Tadorna_radjah,Anatidae,Anseriformes,1,6,138.7344122,-13.56023425,0,0,0,0
Tadorna_tadorna,Anatidae,Anseriformes,1,6,66.89222513,48.92004418,0,0,0,0
Tadorna_tadornoides,Anatidae,Anseriformes,1,6,137.1554124,-31.81109097,0,0,0,0
Tadorna_variegata,Anatidae,Anseriformes,1,6,172.5761922,-41.827349,0,0,0,0
Taenioptynx_brodiei,Strigidae,Strigiformes,0,6,NA,NA,0,0,0,0
Taenioptynx_sylvaticus,Strigidae,Strigiformes,0,1,NA,NA,0,0,0,0
Talegalla_cuvieri,Megapodiidae,Galliformes,0,1,133.7880157,-2.58583625,0,0,0,0
Talegalla_fuscirostris,Megapodiidae,Galliformes,0,1,141.0609645,-6.856748011,0,0,0,0
Talegalla_jobiensis,Megapodiidae,Galliformes,0,1,142.2052975,-4.292972007,0,0,0,0
Tanygnathus_gramineus,Psittaculidae,Psittaciformes,1,1,126.3556472,-3.328313878,1,1,0,1
Tanygnathus_lucionensis,Psittaculidae,Psittaciformes,1,6,122.8859733,11.71677402,1,1,0,1
Tanygnathus_megalorynchos,Psittaculidae,Psittaciformes,1,6,126.2486926,-4.093228958,1,1,0,1
Tanygnathus_sumatranus,Psittaculidae,Psittaciformes,1,6,122.3678838,5.948225304,1,1,0,1
Tanysiptera_carolinae,Alcedinidae,Coraciiformes,1,6,134.8938835,-1.032963985,1,0,1,1
Tanysiptera_danae,Alcedinidae,Coraciiformes,1,1,148.272806,-9.26494022,1,0,1,1
Tanysiptera_ellioti,Alcedinidae,Coraciiformes,1,3,129.8226153,-1.194348783,1,0,0,1
Tanysiptera_galatea,Alcedinidae,Coraciiformes,1,6,140.0320922,-5.102755776,1,0,0,1
Tanysiptera_hydrocharis,Alcedinidae,Coraciiformes,1,1,140.2890715,-8.023893591,1,0,0,1
Tanysiptera_nigriceps,Alcedinidae,Coraciiformes,1,1,NA,NA,1,0,0,1
Tanysiptera_nympha,Alcedinidae,Coraciiformes,1,6,134.9386928,-2.635396133,1,0,1,1
Tanysiptera_riedelii,Alcedinidae,Coraciiformes,1,6,135.8917761,-0.937067002,1,0,0,1
Tanysiptera_sylvia,Alcedinidae,Coraciiformes,1,6,147.4695707,-13.81386041,1,0,0,1
Taoniscus_nanus,Tinamidae,Tinamiformes,0,6,-46.82677547,-18.94575124,0,0,0,0
Tapera_naevia,Cuculidae,Cuculiformes,0,3,-58.16730734,-9.347495793,0,0,0,0
Taphrolesbia_griseiventris,Trochilidae,Caprimulgiformes,1,1,-77.59086108,-8.389114167,0,0,0,0
Taphrospilus_hypostictus,Trochilidae,Caprimulgiformes,1,1,-71.65303158,-11.09905468,0,0,0,0
Tauraco_bannermani,Musophagidae,Musophagiformes,0,1,10.43912708,6.057928414,0,0,0,0
