Longitude,Latitude,species_tree,sc,b_nisc,g_nisc,p_nisc,nisc,nisc_count,category,country,region,subregion
122.1993881,-0.749106871,Cittura_sanghirensis,1,1,0,1,1,2,multi,Philippines,Asia,South-Eastern Asia
-3.710155737,68.7949142,Clangula_hyemalis,1,0,0,0,0,0,sc,Iceland,Europe,Northern Europe
-87.06146788,5.530407535,Coccyzus_ferrugineus,0,0,0,0,0,0,absence,Costa Rica,Americas,Central America
-86.4420131,18.39033364,Coccyzus_minor,0,0,0,0,0,0,absence,Mexico,Americas,Central America
167.0198376,-50.99477902,Coenocorypha_aucklandica,0,0,0,0,0,0,absence,New Zealand,Oceania,Australia and New Zealand
167.0198376,-50.99477902,Coenocorypha_huegeli,0,0,0,0,0,0,absence,New Zealand,Oceania,Australia and New Zealand
-176.2190239,-44.30428802,Coenocorypha_pusilla,0,0,0,0,0,0,absence,New Zealand,Oceania,Australia and New Zealand
-80.43257042,21.94905693,Colaptes_fernandinae,0,0,0,0,0,0,absence,Panama,Americas,Central America
-83.01003554,6.267257388,Colibri_thalassinus,1,0,0,0,0,0,sc,Nicaragua,Americas,Central America
121.1224281,-0.199724914,Collocalia_affinis,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
157.1857698,15.1498798,Collocalia_bartschi,0,0,0,0,0,0,absence,Solomon Islands,Oceania,Melanesia
121.1224281,-0.199724914,Collocalia_dodgei,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
121.1224281,-0.199724914,Collocalia_esculenta,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
56.39902557,-20.76721561,Collocalia_francica,0,0,0,0,0,0,absence,Seychelles,Africa,Eastern Africa
122.8132694,-2.41119029,Collocalia_infuscata,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
158.1680975,6.645682784,Collocalia_inquieta,1,0,0,0,0,0,sc,Solomon Islands,Oceania,Melanesia
121.1224281,-0.199724914,Collocalia_isonota,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
121.1224281,-0.199724914,Collocalia_marginata,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
122.7399471,11.81135565,Collocalia_mearnsi,0,0,0,0,0,0,absence,Philippines,Asia,South-Eastern Asia
121.1224281,-0.199724914,Collocalia_natalis,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
121.1224281,-0.199724914,Collocalia_neglecta,1,0,0,0,0,0,sc,Philippines,Asia,South-Eastern Asia
